Player,Age,Pos,Tm,G,MP,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,AST,ORB,DRB,TRB,PTS,Salary,PTS_per_game,AST_per_game
Abdel Nader,25,SF,OKC,61,694,91,215,0.423,32,100,0.32,59,115,0.513,27,36,0.75,20,14,102,116,241,1378242,3.951,0.328
Alfonzo McKinnie,26,SF,GSW,72,1003,134,275,0.487,42,118,0.356,92,157,0.586,27,48,0.562,31,81,166,247,337,1349383,4.681,0.431
Andre Iguodala,35,SF,GSW,68,1578,151,302,0.5,48,144,0.333,103,158,0.652,39,67,0.582,216,48,204,252,389,16000000,5.721,3.176
Andrew Wiggins,23,SF,MIN,73,2543,498,1209,0.412,118,348,0.339,380,861,0.441,207,296,0.699,184,83,269,352,1321,25467250,18.096,2.521
Bojan Bogdanovic,29,SF,IND,81,2573,522,1051,0.497,164,386,0.425,358,665,0.538,246,305,0.807,161,33,300,333,1454,10500000,17.951,1.988
Bonzie Colson,23,SF,MIL,8,98,13,39,0.333,5,21,0.238,8,18,0.444,8,9,0.889,3,8,22,30,39,77250,4.875,0.375
Brandon Ingram,21,SF,LAL,52,1760,362,729,0.497,31,94,0.33,331,635,0.521,195,289,0.675,154,41,226,267,950,5757120,18.269,2.962
Bruno Caboclo,23,SF,MEM,34,800,96,225,0.427,48,130,0.369,48,95,0.505,42,50,0.84,50,42,116,158,282,705361,8.294,1.471
Caris LeVert,24,SF,BRK,40,1063,207,483,0.429,48,154,0.312,159,329,0.483,85,123,0.691,156,35,116,151,547,1702800,13.675,3.9
Cedi Osman,23,SF,CLE,76,2444,360,844,0.427,130,374,0.348,230,470,0.489,141,181,0.779,195,45,312,357,991,2775000,13.039,2.566
Chandler Hutchison,22,SF,CHI,44,895,96,209,0.459,14,50,0.28,82,159,0.516,23,38,0.605,34,31,154,185,229,1991520,5.205,0.773
Chandler Parsons,30,SF,MEM,25,496,68,182,0.374,29,94,0.309,39,88,0.443,22,25,0.88,43,4,66,70,187,24107258,7.48,1.72
Danilo Gallinari,30,SF,LAC,68,2059,409,884,0.463,161,372,0.433,248,512,0.484,367,406,0.904,178,54,363,417,1346,21587579,19.794,2.618
Danuel House,25,SF,HOU,39,979,118,252,0.468,74,178,0.416,44,74,0.595,56,71,0.789,40,25,115,140,366,247827,9.385,1.026
Darius Miller,28,SF,NOP,69,1757,189,484,0.39,133,364,0.365,56,120,0.467,56,71,0.789,146,14,114,128,567,2205000,8.217,2.116
Deng Adel,21,SF,CLE,19,194,11,36,0.306,6,23,0.261,5,13,0.385,4,4,1,5,3,16,19,32,77250,1.684,0.263
Derrick Jones,21,SF,MIA,60,1153,160,324,0.494,28,91,0.308,132,233,0.567,74,122,0.607,37,96,144,240,422,1512601,7.033,0.617
Devin Robinson,23,SF,WAS,7,95,19,32,0.594,0,2,0,19,30,0.633,9,14,0.643,6,6,14,20,47,77250,6.714,0.857
Dillon Brooks,23,SF,MEM,18,330,49,122,0.402,15,40,0.375,34,82,0.415,22,30,0.733,16,9,22,31,135,1378242,7.5,0.889
Dorian Finney-Smith,25,SF,DAL,81,1985,228,528,0.432,79,254,0.311,149,274,0.544,73,103,0.709,95,138,251,389,608,1544951,7.506,1.173
Doug McDermott,27,SF,IND,77,1340,207,422,0.491,84,206,0.408,123,216,0.569,66,79,0.835,67,17,92,109,564,7333334,7.325,0.87
Glenn Robinson,25,SF,DET,47,610,74,176,0.42,18,62,0.29,56,114,0.491,32,40,0.8,21,17,54,71,198,4075000,4.213,0.447
Haywood Highsmith,22,SF,PHI,5,40,4,10,0.4,1,5,0.2,3,5,0.6,0,2,0,2,0,5,5,9,77250,1.8,0.4
Jae Crowder,28,SF,UTA,80,2166,318,797,0.399,173,522,0.331,145,275,0.527,142,197,0.721,133,60,324,384,951,7305825,11.887,1.663
JaKarr Sampson,25,SF,CHI,4,127,29,54,0.537,5,14,0.357,24,40,0.6,17,21,0.81,4,5,27,32,80,85457,20,1
Jake Layman,24,SF,POR,71,1327,216,424,0.509,59,181,0.326,157,243,0.646,50,71,0.704,53,56,161,217,541,1544951,7.62,0.746
Jalen Jones,25,SF,CLE,16,214,26,62,0.419,10,28,0.357,16,34,0.471,19,27,0.704,7,11,23,34,81,77250,5.062,0.438
Jaron Blossomgame,25,SF,CLE,27,439,47,106,0.443,10,39,0.256,37,67,0.552,10,13,0.769,13,26,72,98,114,77250,4.222,0.481
Jayson Tatum,20,SF,BOS,79,2455,466,1036,0.45,116,311,0.373,350,725,0.483,195,228,0.855,168,70,407,477,1243,6700800,15.734,2.127
Jemerrio Jones,23,SF,LAL,6,143,12,33,0.364,2,10,0.2,10,23,0.435,1,2,0.5,13,16,33,49,27,52170,4.5,2.167
Jonathon Simmons,29,"SF, SG","PHI, ORL",56,1064,133,350,0.38,28,104,0.269,105,246,0.427,72,97,0.742,128,27,99,126,366,6000000,6.536,2.286
Julian Washburn,27,SF,MEM,18,254,16,48,0.333,5,24,0.208,11,24,0.458,3,4,0.75,14,8,33,41,40,77250,2.222,0.778
Justin Anderson,25,SF,ATL,48,463,64,157,0.408,24,77,0.312,40,80,0.5,26,35,0.743,23,24,60,84,178,2516047,3.708,0.479
Justise Winslow,22,SF,MIA,66,1959,324,749,0.433,96,256,0.375,228,493,0.462,86,137,0.628,282,63,292,355,830,3448926,12.576,4.273
Kawhi Leonard,27,SF,TOR,60,2040,560,1129,0.496,112,302,0.371,448,827,0.542,364,426,0.854,199,78,361,439,1596,23114066,26.6,3.317
Keita Bates-Diop,23,SF,MIN,30,503,60,142,0.423,13,52,0.25,47,90,0.522,18,28,0.643,17,16,67,83,151,838464,5.033,0.567
Kenrich Williams,24,SF,NOP,46,1079,107,279,0.384,52,156,0.333,55,123,0.447,13,19,0.684,83,55,164,219,279,838464,6.065,1.804
Kevin Durant,30,SF,GSW,78,2702,721,1383,0.521,137,388,0.353,584,995,0.587,448,506,0.885,457,33,464,497,2027,30000000,25.987,5.859
Khris Middleton,27,SF,MIL,77,2393,506,1148,0.441,179,474,0.378,327,674,0.485,216,258,0.837,331,50,411,461,1407,13000000,18.273,4.299
Kyle Anderson,25,SF,MEM,43,1281,150,276,0.543,9,34,0.265,141,242,0.583,37,64,0.578,128,48,203,251,346,8641000,8.047,2.977
LeBron James,34,SF,LAL,55,1937,558,1095,0.51,111,327,0.339,447,768,0.582,278,418,0.665,454,57,408,465,1505,35654150,27.364,8.255
Luol Deng,33,SF,MIN,22,392,59,118,0.5,14,44,0.318,45,74,0.608,25,35,0.714,18,20,53,73,157,16747954,7.136,0.818
Malcolm Miller,25,SF,TOR,10,67,11,26,0.423,10,21,0.476,1,5,0.2,3,4,0.75,1,1,4,5,35,457418,3.5,0.1
Mario Hezonja,23,SF,NYK,58,1206,191,464,0.412,42,152,0.276,149,312,0.478,87,114,0.763,88,28,211,239,511,6500000,8.81,1.517
Mikal Bridges,22,SF,PHO,82,2417,242,563,0.43,105,313,0.335,137,250,0.548,95,118,0.805,173,56,208,264,684,3557400,8.341,2.11
Miles Bridges,20,SF,CHO,80,1696,237,511,0.464,65,200,0.325,172,311,0.553,58,77,0.753,95,67,256,323,597,3206640,7.463,1.188
Nicolas Batum,30,SF,CHO,75,2354,253,562,0.45,116,298,0.389,137,264,0.519,77,89,0.865,247,71,319,390,699,24000000,9.32,3.293
OG Anunoby,21,SF,TOR,67,1352,183,404,0.453,67,202,0.332,116,202,0.574,36,62,0.581,47,58,139,197,469,1952760,7,0.701
Omri Casspi,30,SF,MEM,36,520,86,161,0.534,15,43,0.349,71,118,0.602,39,58,0.672,26,17,98,115,226,2176260,6.278,0.722
Paul George,28,SF,OKC,77,2841,707,1614,0.438,292,757,0.386,415,857,0.484,453,540,0.839,318,105,523,628,2159,30560700,28.039,4.13
Quincy Pondexter,30,SF,SAS,53,292,29,58,0.5,6,18,0.333,23,40,0.575,34,42,0.81,24,8,38,46,98,2165481,1.849,0.453
Rodions Kurucs,20,SF,BRK,63,1294,202,449,0.45,58,184,0.315,144,265,0.543,72,92,0.783,52,56,190,246,534,1690000,8.476,0.825
Rondae Hollis-Jefferson,24,SF,BRK,59,1234,200,487,0.411,9,49,0.184,191,438,0.436,118,183,0.645,96,83,227,310,527,2470356,8.932,1.627
Royce O'Neale,25,SF,UTA,82,1671,163,343,0.475,68,176,0.386,95,167,0.569,32,42,0.762,124,22,263,285,426,1378242,5.195,1.512
Solomon Hill,27,SF,NOP,44,878,68,178,0.382,32,101,0.317,36,77,0.468,23,32,0.719,55,34,99,133,191,12763467,4.341,1.25
Thabo Sefolosha,34,SF,UTA,50,609,71,149,0.477,34,78,0.436,37,71,0.521,14,22,0.636,27,8,115,123,190,5250000,3.8,0.54
TJ Warren,25,SF,PHO,43,1360,297,611,0.486,77,180,0.428,220,431,0.51,101,124,0.815,64,31,143,174,772,11750000,17.953,1.488
Tony Snell,27,SF,MIL,74,1304,163,361,0.452,81,204,0.397,82,157,0.522,37,42,0.881,68,29,128,157,444,10607143,6,0.919
Torrey Craig,28,SF,DEN,75,1503,160,362,0.442,61,188,0.324,99,174,0.569,49,70,0.7,72,89,174,263,430,2000000,5.733,0.96
Troy Brown,19,SF,WAS,52,730,97,234,0.415,22,69,0.319,75,165,0.455,32,47,0.681,80,35,110,145,248,2752680,4.769,1.538
Troy Williams,24,SF,SAC,21,312,44,98,0.449,14,44,0.318,30,54,0.556,9,15,0.6,11,12,47,59,111,77250,5.286,0.524
Wesley Iwundu,24,SF,ORL,68,1233,113,274,0.412,29,79,0.367,84,195,0.431,84,103,0.816,73,37,147,184,339,1378242,4.985,1.074
Yuta Watanabe,24,SF,MEM,15,174,15,51,0.294,2,16,0.125,13,35,0.371,7,10,0.7,8,4,27,31,39,77250,2.6,0.533
